"","Unknown","Acidaminococcus","Acinetobacter","Actinomyces","Agrobacterium","Akkermansia","Aliivibrio","Alistipes","Alkanindiges","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Butyricimonas","Campylobacter","Capnocytophaga","cc_115","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Deinococcus","Desulfovibrio","Devosia","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Jeotgalicoccus","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Lysobacter","Massilia","Megamonas","Mycobacterium","Mycoplana","Neisseria","Odoribacter","Oribacterium","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Paracoccus","Parvimonas","Pediococcus","Phascolarctobacterium","Phenylobacterium","Pleomorphomonas","Prevotella","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Rhodoferax","Roseburia","Rothia","Rubellimicrobium","Ruminococcus","Sarcina","Slackia","SMB53","Sphingomonas","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC552962","2875","  11","   0","   0","   0","1384","  58","   9","   0","   0","   0","  12","   0","   0","   0","   0","4620","  14","  40","1029","   0","   0","   0","   0","   0","  52","   5","   0"," 270","   0","   8","   0","   0","   0","   0","   0"," 124","   0","   0","  18","   0","   0","2200","   0","   0","   0","3182","   0","   0","  26"," 308","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","  36","   0"," 649","   3","   0"," 234","   0","   0","   0","  90","   0","   0","   0","   0","   0","   0","   0","   0"," 558","   0","   0","1917","   0","   0","   0","   0","   0","   0","   0"," 171","   0","   0"
"SC552966","1611","   0","   0","   0","   0","   0","  83","   0","   0","   0","   0","  19","   0","   0","   0","   0","1876"," 164","   0"," 476","   0","   0","   0","   0","   0","  11","  51","   4"," 547","   0","   8","   0","   0","   0","   0"," 508","  80","   0","   0","   0","   3","   0","3263","   0","   0","   2","1296","   0","   0","   3"," 217"," 363","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 281","   0","   0"," 460","   0","   0","   0","   0","   0","   0","7120","   0","   2","   0","   0","   0"," 790","   0","   0"," 351","   0","   0","  24","   0","   1","  35","   0"," 290","   0","   0"
"SC552974","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1338","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2750","5176","   0","   0","   0","   0","   0","6434","   0","   0","   0","   0"," 877","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1251","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2168","   0","   0","   0","   0","   0"
"SC552975","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","  755","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  274","  837","    0","    6","    0","    0","    0","15048","    0","    0","    0","    0","   86","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"," 2723","    0","    0","    0","    4","    0","    0","    3","    0","    0","    0","    0","  256","    0","    0","    0","    0","    0"
"SC552980","1278","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","  12","   0","   0","   0","   0"," 872"," 208","   0","1761","   0","   0","   0","   0","   0","  23","   0","   0"," 902","   0","   0","   0","   0","   0","   0"," 137"," 216","   0","   0","   0","   0","   0","2353","   0","   0","   0","1512","   0","   0","   0"," 184"," 359","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  57","   0","   0"," 161","   0","   0","   0","   0","   0","   0","8265","   0","   0","   0","   0","   0"," 505","   0","   0"," 934","   0","   0","  53","   0","   0","  77","   0","  62","   0","   0"
"SC552982","1655","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 515","   0"," 695","   0","  57","   0","   0","1108","  30","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","  35"," 758","   0","   0","   0","  50"," 954","2258","   0","2868","   0","   0","   0","   0","   0","   0"," 742","   0","   0","   0","   0","   0","   0","3603","   0","   0","   0","   0","   0","   0","   0"," 826","   0","   0","   0","   0"," 762","   0","   0","   0","   0","   0","  35","1047","   0","  34","   0","  33","   0","   0","   0"," 920","   0","   0","   0"," 952"
"SC552987","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2669","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1657","3503","   0","   0","   0","   0","   0","6205","   0","   0","   0","   0","1572","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0"," 465","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3918","   0","   0","   0","   0","   0"
"SC552988","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  193","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    0","    1","    0","    0","    0","19380","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","  382","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"SC552990","    2","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","  142","    0","    0","    0","   27","    0","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   18","    0","   37","    0","    0","    0","19352","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  356","    0","    0","    0","   20","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"SC552991","1467","   0","   0","   0","   0"," 676","  21","   0","   0","   0","   0","  33","   0","   0","   0","   0"," 552","  57","  17","2804","   0","   0","   0","   0","   8","  77","   0","   0","1915","   0","   2","   0","   0","   0","   0"," 207"," 151","   0","   0","   0"," 136","  75","2969","   0","   0","   3","2683","   9","   0","   6"," 148","   9","   3","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0"," 204","   5","   0","  62","   0","   0","   0","  39","   0","   0","  84","   0","   0","   0","   0","   0","1649","   0","   0","3241","   2","   0","   5","   0","   0"," 532","   0","  23","   6","   0"
"SC552995","1740","   0","   0","   2","   0"," 727","  74","   4","   0","   0","   0","  35","   0","   0","   0"," 173","4391","   0","  15","2003","   0","  15","   0","   0","   2","  60","   0","   0"," 879","   0","   6","   2","   0","   3","   0","  24"," 212","   0","   0"," 153"," 196","   2","1749","   0","   0","   0","3106","   5","   0","   6"," 277","  60","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 209","   3","   0"," 119","   0","   0","   0"," 105","   0","   0","  49","   0","  33","   0","   0","   0"," 914","   0","   0","2021","   0","   0","   3","   0"," 159"," 239","   1","  73","   2","   2"
"SC552997","2891","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 753","  13"," 721","   0","  52","   0","   0","1702","  52","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","  18","   7","  71","1017","   0","   6","   0","  50"," 900"," 321","   0","4309","   0","   0","   0","   0","   2","   0"," 996","   0","   0","   0","   0","   0","   0","2035","   0","   0","   0","   0","   0","   0","   0"," 662","   0","   0","   0","   0","1393","   0","   0","   0","   0","   0","  24"," 886","   0","  26","   0","  25","   0","   0","   0"," 284","   0","   0","   0"," 740"
"SC553002","   7","   0","   0","   0","   0","   7","   2","   0","   0","   0","   0","   0","   0","   0","   0","2703","  71","   0","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2324","3778","   0","  23","   0","   0","   0","5396","   0","   0","   0","   3","1772","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0"," 763","   0","   0","   0","  13","   0","   0","  32","   0","   0","   0","   0","3055","   0","   0","   0","   0","   0"
"SC553003","   28","    0","    0","    0","    0","   21","    5","    0","    0","    0","    0","    0","    0","    0","    0","  477","  106","    0","    0","   49","    0","    0","    0","    0","    0","    2","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   52","  213","    0","   53","    0","    0","    0","17060","    0","    0","    0","    8","   42","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    5","    0","    0","    0","    0","    0","    0","    7","    0"," 1676","    0","    0","    0","   18","    0","    0","   55","    0","    0","    0","    0","   56","    4","    0","    0","    0","    0"
"SC553004","1922","   0","   0","   0","   0","   3","  59","   0","   0","   0","   0","  23","   0","   0","   0","  53","1529"," 148","   0","1101","   0","   0","   0","   0","   0","  22","   0","   0"," 801","   0","   6","   0","   0","   0","   0"," 432"," 167","   0","   0","  31","  40","   2","2755","   0","   0","   0","2409","   4","   0","   0"," 212"," 469","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0"," 174","   0","   0"," 339","   0","   0","   0","   1","   0","   0","5220","   0","  43","   0","   0","   0"," 888","   0","   0"," 773","   0","   0","  53","   0","  22","  62","   0"," 157","   0","   0"
"SC553009","1975","   0","   0","   0","   0","  17"," 107","   0","   0","   0","   0","  16","   0","   0","   0","   5","1968","  73","   0"," 469","   0","   0","   5","   0","   0","  21","  18","   0"," 639","   0","   3","   0","   0","   0","   0"," 647","  68","   0","   4","   3","  10","   2","2993","   0","   0","   1","1205","   3","   0","   0"," 216"," 495","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 150","   0","   0"," 526","   0","   1","   0","   3","   0","   0","6934","   0","   0","   0","   0","   0"," 586","   0","   0"," 428","   0","   0","  28","   0","   0","  32","   0"," 279","   0","   1"
"SC553011","2283","   0","   0","   0","   0","  92","  13","   0","   0","   0","   0","   0","   0","   0","   0"," 529"," 869"," 115","   5"," 391","   0","   0","1455","  20","   0","   0","   0","   0"," 262","   0","   0","   0","   0","   0","   0","  86","  43","   8","1059","  23","  68","   0","1005","  59","  58","   0","4308","   0","   0","   0","  79","  69","   0"," 509","   0","   0","   0","   0","   0","   0"," 959","   0","   0"," 111","   0","   0"," 127","   0"," 136","   0","  25","   0","   0","4048","   0","   0","   0","   0","   0"," 645","  26","   0"," 308","   0","   0","  11","   0","  26","  41","   0","  25","   0","  47"
