"","Unknown","Acidaminococcus","Actinomyces","Adlercreutzia","Akkermansia","Aliivibrio","Alistipes","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Bulleidia","Butyricimonas","Campylobacter","cc_115","Christensenella","Cloacibacillus","Clostridium","Collinsella","Coprobacillus","Coprococcus","Cryocola","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Finegoldia","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Megamonas","Mogibacterium","Neisseria","Odoribacter","Oscillospira","Oxalobacter","Parabacteroides","Parvimonas","Pediococcus","Phascolarctobacterium","Prevotella","Pseudomonas","Pyramidobacter","Ralstonia","rc4-4","Roseburia","Rothia","Ruminococcus","Sarcina","Sharpea","SMB53","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC552971","1431","   0","   4","   0","2344","   0","   0","   0","   0","  23","   0","   0"," 492","   0","  11","1907","   0","   0","   0","   0","   0","   0","   0","  50","  66","   0","2082","   0","   0","   0","  64"," 206","   0","   0","   0"," 115","   3","3654","   0","   0","   0","   0","2913","  11","   2","  32","   8","   0","   0","   0","   0","   0","   0","   0"," 169","   7","  48","   0","   0","  11","   9","   0","   0","   0","   0","1735","   0","2348","   0","   0","   4","   0"," 177","   0","   0","   0","   1"
"SC552972","2229","   0","   0","   0","4279"," 439","   0","   2","   2","  11","  42","   0","4782","  23","   0"," 451","   0","   0","   0","   0","   0","   0","   0","  41","   0","  46"," 628","  46","   2","  40"," 154"," 120","  15","   0","   7","   3","  12"," 374","   0","   0","   0","   0","1217","   0","   0"," 264","   4","   0","   0","   0","   0","   0","   0","  21","2053","  71"," 512","   0","   0","   0","   0","   0","   0","   0","   2"," 202","   0","1098","  29","   0","   0","   0","  27","   0"," 651","  12","   0"
"SC552977","2897","   0","   7","   0","2540"," 345","   0","   0","   5","   8","  36","   3","3105","  65","   0","1483","   0","   0","   0","   0","   0","   0","   0","  27","   0","  79","1498","  41","   0","  24"," 166"," 324","  17","   0","   9","   0","  30"," 437","   0","   0","   7","   2","1607","   4","   0"," 187","  46","   0","   0","   0","   0","   0","   0","   0","1104","  42"," 418","   0","   0","   0","   0","   0","   0","   0","   0"," 289","   0","2136","  77","   0","   6","   0"," 264","   0"," 462"," 116","   0"
"SC552978","2360","   0","   0","   0","3291","   9","   8","   0","   1","   4","   0","   0","6596","   0","  33"," 499","   0","   0","   6","   0","   0","   0","   0","  38","   7","   0"," 156","   0","   0","   3","   0","  55","   0","   0","   0","  11","   9"," 109","   0","   0","   0","   0","3010","   0","  70","  18","   0","   0","   0","   0","   0","   0","   0","   0"," 146","   0","  51","   0","   0","  11","   0","   0","   3","   0","   0"," 322","   0","2933","   0","   0","   0","   0","  29"," 106","  39","   0","   0"
"SC552979","1674","   0","   6","   0","  87","  89","   5","   0","   0","  87","   0","   0","4419","   0","   0","2824","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0","1410","   7","   0","   0","   0"," 419","   0","   0","   0","   9","   5","1280","   0","   0","   0","   0","3006","   0","   0"," 271","   0","   0","   0","   0","   0","   0","   0","   0"," 102","   0","  38","   0","   0"," 116","   0","   0","   0","   0","   0","1707","   3","1668","   0","   0","   7","   0"," 631","   0","   0","   3","   0"
"SC552992","2665","   0","   0","   0","4110"," 270","   0","   0","   0","   9","  31","   3","4802","  16","   8","1070","   0","   0","   0","   0","   0","   1","   0","  36","   0","  29"," 923","  14","   2","  12","  94"," 220","   7","   0","   9","   0","  16"," 284","   0","   0","   0","   0","1669","   0","  14"," 179","  19","   0","   0","   0","   0","   0","   0","  19"," 863","  33"," 320","   0","   0","   0","   0","   0","   0","   0","   1"," 289","   2","1136"," 120","   0","   0","   0","  80","   8"," 413"," 112","   0"
"SC552993","1890","   0","   0","   0","6542","   0","   9","   0","   1","   0","   0","   0","7842","   0","  46"," 265","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  63","   0","   0","   0","   4","  15","   0","   0","   0","  13","   0","  22","   0","   0","   0","   0","1777","   0","  52","   5","   0","   0","   0","   0","   0","   0","   0","   0","  68","   0","  86","   0","   0","   0","   0","   0","   0","   0","   0"," 139","   0","1023","   0","   0","   0","   0","   9","  69","  13","   0","   0"
"SC552994","1707","   0","   0","   0"," 103"," 142","   0","   0","   0","  54","   0","   0","7250","   0","   0","2364","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","1011","   7","   0","   0","   0"," 264","   0","   0","   0","  11","   8","1190","   0","   0","   0","   0","2687","   0","   0"," 229","   0","   0","   0","   0","   0","   0","   0","   0"," 180","   0"," 119","   0","   0","  84","   0","   0","   0","   0","   0","1032","   5","1079","   0","   0","   8","   0"," 364","   0","   0","   0","   0"
"SC552996","1879","   0","   0","   0","   0","  60","   0","   0","   0","  18","   0","   0","1468"," 251","   0","1102","   0","   0","   0","   0","   0","   0","   0","  13","  60","   0"," 769","   0","   0","   0"," 449"," 145","   0","   0","   0","   0","   0","2206","   0","   0","   0","   0","1698","   4","   0"," 224"," 632","   0","   0","   0","   0","   0","   0","   0"," 179","   0"," 376","   0","   0","   0","6778","   0","   0","   0","   0"," 644","   0"," 665","   0","   0","  72","   0","  63","   0"," 187","   0","   2"
"SC552999","3354","   0","   2","   0","   4","  92","   0","   0","   1","  49","   0","   0","1836"," 427","  60","1985","   0","   0","   0","   0","  70","   0","   0","  25"," 100","   0"," 537","   7","   4","   0"," 759"," 211","   0","   0","   0","   0"," 345","3199","   0","   0","   0","   0","2475","   3","  38"," 168","  14","   0","   0","   0","   0","   0","   0","  32"," 433","   0"," 183","   0","   0","   0"," 428","   0","   0","   0","   0"," 308","   2","2278","   0","   0","   0","   0"," 368","   0","  71","   5","   2"
"SC553000","1264","   0","   0","   0","1063","   0","   0","   0","   0","  20","   0","   0"," 149","   1","  12","3190","   0","   0","   0","   0","   0","   0","   0","  52","  87","   0","1931","   0","   0","   0","  68"," 263","   0","   0","   0"," 200","   0","2868","   1","   0","   0","   0","3101","   5","   0","  48","  20","   2","   0","   0","   0","   0","   0","   0"," 140","   7","  19","   0","   0","   6","   2","   0","   0","   0","   0","2150","   0","2615","   0","   0","   5","   0"," 640","   0","   0","   0","   0"
"SC553001","2540","   5","   0","   0","1376","  60","   3","   0","   0","   9","   6","   0","3730","  22","  48","1474","   0","   0","   0","   0","   0","   0","   5"," 130","   9","   0"," 594","   0","   9","   5","   0"," 162","   0","   0","  13","   0","   0","2329","   0","   0","   0","   2","3086","   6","  12"," 299","  10","   7","   0","   6","   0","   0","   0","   0"," 425","   6"," 203","   0","   0","  66","   2","   3","   0","   0","   0"," 557","   0","2463","   0","   0","   0","   0","  12","   0"," 183","   0","   0"
"SC553006","2192","   0","   0","   0","4012"," 650","   0","   0","   0","   7","  43","   0","4070","  18","   2"," 605","   0","   0","   0","   0","   0","   0","   0","  26","   0","  49"," 719","  20","   0","  30"," 194"," 193","   7","   0","   0","  31","  15"," 723","   0","   0","   0","   0","1456","   0","   0"," 246","  23","   0","   0","   0","   0","   0","   0","  24","1166","  73"," 567","   0","   0","   8"," 269","   0","   0","   0","   0"," 367","   0","1208","  29","   0","   1","   0","  42","   0"," 766","  43","   0"
"SC553007","2729","   0","   0","   0","4202","   0","  12","   5","   3","   0","   0","   0","9944","   0","  34","  56","   0","   0","   0","   0","   0","   0","   0","  29","   0","   0","  31","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   5","   0","   0","   0","   0","1701","   4","  66","  12","   0","   0","   0","   0","   0","   0","   0","   0"," 226","   0","  73","   0","   0","   0","   8","   1","   8","   0","   0","  69","   0"," 457","   0","   0","   0","   0","   0"," 213","  56","   0","   0"
