"","Group.1","SC249442","SC249443-PC04924-D-09","SC249445-PC04924-E-09","SC249446","SC249447-PC04924-G-09","SC249448-PC04924-H-09","SC249449-PC04924-A-10","SC249451-PC04924-C-10","SC249452","SC249453-PC04924-E-10","SC249445-PC04925-B-05","SC249447-PC04925-C-05","SC249448-PC04925-A-11","SC249448-PC04925-D-05","SC249449-PC04925-E-05","SC249453-PC04925-F-05","SC253181-PC04925-G-05","SC253182-PC04925-H-05","SC253183-PC04925-A-06","SC253184-PC04925-B-06","SC253185","SC253186-PC04925-D-06","SC253188","SC253189","SC253190-PC04925-G-06","SC253190-PC04925-H-06","SC253191","SC253192","SC253193","SC253194","SC253195-PC04925-E-07","SC253196-PC04925-F-07","SC253197-PC04925-G-07","SC253197-PC04925-H-07","SC253199-PC04925-A-08","SC253199-PC04925-B-08","SC253199-PC04925-E-11","SC253200-PC04925-C-08","SC253201-PC04925-D-08","SC253201-PC04925-E-08","SC253203-PC04925-G-08","SC253203-PC04925-H-08","SC253204","SC249443-PC07578-E-05","SC249448","SC249451-PC07578-F-06","SC249453","SC253181-PC07578-G-05","SC253182-PC07578-A-01","SC253183-PC07578-D-08","SC253184-PC07578-G-06","SC253186-PC07578-D-06","SC253195-PC07578-E-07","SC253196-PC07578-F-07","SC253200-PC07578-C-08","SC253201","SC253202-PC07578-F-08","SC552962","SC553006","SC553008","SC553010","SC553015","SC555351"
"65","g__Phascolarctobacterium",0,0,48,8,16,99,66,0,2,50,51,17,122,104,48,65,0,1,251,133,0,2,201,0,153,153,138,0,0,0,1,1,176,205,148,189,197,2,199,239,114,132,5,0,108,0,66,0,0,194,133,2,2,0,1,211,107,90,8,165,4,79,0
"66","g__Polaromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","g__Porphyromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"68","g__Prevotella",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,268,6,7573,17,0
"69","g__Propionibacterium",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"70","g__Pseudomonas",1555,40,0,2,0,0,0,1539,0,0,0,0,0,0,0,0,1794,0,0,0,0,0,0,1733,0,0,0,1,0,1272,4,1409,0,0,0,0,0,0,0,0,0,0,0,52,0,1747,0,1888,0,0,0,11,1,1583,2,0,4,0,0,0,0,0,902
"71","g__Pyramidobacter",0,152,0,47,1,0,0,0,4,0,0,1,0,0,0,0,0,5,0,0,89,6,0,0,0,0,0,88,3,0,110,0,0,0,0,0,0,5,0,0,0,0,108,169,0,0,0,0,7,0,0,6,77,0,3,0,0,0,0,0,0,0,0
"72","g__Ralstonia",0,1055,0,770,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2475,0,0,0,0,0,0,2108,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,1624,1012,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0
"73","g__Roseburia",12,496,1137,1091,1135,634,919,0,245,985,1099,1043,732,739,842,1132,0,67,1208,1583,3,125,1255,5,1367,1629,1574,7,209,0,33,23,1609,1887,1975,1840,1953,229,1982,2546,1773,1553,101,441,762,14,1109,14,110,1175,1234,151,95,0,273,1992,2983,556,366,1065,567,650,0
"74","g__Ruminococcus",12,323,6372,1295,2217,4946,6708,8,2525,5940,6025,2309,4934,4693,6447,5975,0,842,1440,1664,3,1036,989,0,1825,1800,1921,17,1702,23,130,27,1884,1898,1430,1276,1353,1772,1668,1614,1617,1643,72,353,4905,33,6420,12,930,1593,1837,1081,286,16,2018,1733,1376,1811,1138,68,223,1989,0
"75","g__Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"76","g__SMB53",0,0,5,0,0,0,2,0,0,2,3,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,29,0,0
"77","g__Staphylococcus",3162,156,0,12,0,0,0,3309,2,0,0,0,0,0,2,0,1227,0,1,1,1,0,0,1439,0,0,0,1,0,2901,9,1966,0,0,0,1,0,1,0,0,0,0,9,136,1,3012,0,1342,0,0,0,10,0,2096,8,0,10,0,0,0,0,0,0
"78","g__Streptococcus",0,24,57,65,63,14,26,0,1,51,83,76,22,21,38,65,0,0,152,173,0,0,154,0,203,186,123,0,0,0,7,2,224,231,160,178,170,0,174,164,326,315,16,36,12,0,50,0,0,152,174,0,3,0,0,181,126,0,42,154,28,14,0
"79","g__Succiniclasticum",0,0,0,0,51,0,0,0,98,0,0,72,0,0,0,0,0,238,0,0,0,204,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,287,0,0,205,12,0,132,0,0,0,0,0,0,0,0
"80","g__Sutterella",0,0,0,0,12,0,0,0,23,0,0,13,0,0,0,0,0,17,0,0,0,23,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,17,0,0,22,4,0,27,0,0,171,764,0,210,90,0
"81","g__Turicibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,2,0,0,0
"82","g__Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,1,0,3,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"83","k__Bacteria",2918,1946,1818,2082,3073,1872,1610,2809,2961,1822,1677,3101,1887,1824,1501,1631,4214,2275,3646,3245,2513,3223,3259,3857,3152,2955,2796,2459,3388,3244,2332,3400,2607,2508,2214,2377,2378,3258,2772,2615,2178,2189,2897,1797,1960,2411,1629,3548,2969,3564,3155,3440,2435,3072,3559,2719,2189,2664,1053,2396,1008,2532,20
"84","p__Firmicutes",2943,182,209,195,280,148,180,3164,279,193,215,328,160,150,196,208,2248,181,175,205,0,254,136,2362,235,236,366,1,330,3159,8,3030,247,238,199,272,249,292,186,207,235,242,6,196,146,2942,220,2427,206,181,211,232,41,3227,333,229,322,521,240,179,279,661,18814
